1.38._Kurzy_ČNB_od_30._3._2007.txt,kriterium,vyhovující
1.38._Kurzy_ČNB_od_30._3._2007.txt,odstavce,1
1.38._Kurzy_ČNB_od_30._3._2007.txt,hard_news,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,politicka_zprava,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,soukromy_ramec,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,strategicke,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,vecne,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,funkce,aktuálních fakta a události
1.38._Kurzy_ČNB_od_30._3._2007.txt,vyvazenost,absence zdrojů a úhlů pohledu
1.38._Kurzy_ČNB_od_30._3._2007.txt,protichudna_hlediska,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,odborny_zdroj,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,citace_a_parafraze,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,pyramida,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,fakta_a_nazory,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,negativni_vyzneni,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,konflikt,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,nekompetence,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,skandal,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,dopad,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,obtezujici_okolnosti,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,problemy,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,rady,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,personalizace,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,soukromy_zivot,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,senzacnost,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,emoce,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,morbidnost,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,reakce,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,pozadavky,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,validace,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,lokalni_dopad,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,vzdelavani,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,kontext,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,dotazy,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,informace,Ne
