file,prompt_id,rating,rater_1.csv,rater_2.csv,rater_3.csv,model,majority,maj_agreement_with_model,worst_case
Chci_spravedlnost_pro_dceru.txt,range,single_choice,5,5,5,3,5,False,--WORST-CASE
Chci_spravedlnost_pro_dceru.txt,genre,single_choice,report,other,report,report,report,True,--WORST-CASE
Chci_spravedlnost_pro_dceru.txt,message-trigger,single_choice,public,public,security-forces,public,public,True,--WORST-CASE
Chci_spravedlnost_pro_dceru.txt,place,czech-republic,True,True,True,True,True,True,False
Chci_spravedlnost_pro_dceru.txt,place,slovakia,False,False,False,False,False,True,True
Chci_spravedlnost_pro_dceru.txt,place,poland,False,False,False,False,False,True,True
Chci_spravedlnost_pro_dceru.txt,place,germany,False,False,False,False,False,True,True
Chci_spravedlnost_pro_dceru.txt,place,russia,False,False,False,False,False,True,True
Chci_spravedlnost_pro_dceru.txt,place,ukraine,False,False,False,False,False,True,True
Chci_spravedlnost_pro_dceru.txt,place,other,False,False,False,False,False,True,True
Chci_spravedlnost_pro_dceru.txt,place,unknown,False,False,False,False,False,True,True
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,range,single_choice,3,3,3,3,3,True,--WORST-CASE
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,genre,single_choice,report,report,report,report,report,True,--WORST-CASE
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,message-trigger,single_choice,security-forces,other,security-forces,politician,security-forces,False,--WORST-CASE
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,place,czech-republic,False,False,False,False,False,True,True
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,place,slovakia,False,False,False,False,False,True,True
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,place,poland,False,False,False,False,False,True,True
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,place,germany,False,False,False,False,False,True,True
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,place,russia,True,True,True,False,True,False,False
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,place,ukraine,True,True,True,True,True,True,False
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,place,other,False,False,False,False,False,True,True
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,place,unknown,False,False,False,False,False,True,True
Tvrdík_skončil_jako_viceprezident.txt,range,single_choice,4,4,4,3,4,False,--WORST-CASE
Tvrdík_skončil_jako_viceprezident.txt,genre,single_choice,report,report,report,report,report,True,--WORST-CASE
Tvrdík_skončil_jako_viceprezident.txt,message-trigger,single_choice,public,public,politician,politician,public,False,--WORST-CASE
Tvrdík_skončil_jako_viceprezident.txt,place,czech-republic,True,True,True,True,True,True,False
Tvrdík_skončil_jako_viceprezident.txt,place,slovakia,False,False,False,False,False,True,True
Tvrdík_skončil_jako_viceprezident.txt,place,poland,False,False,False,False,False,True,True
Tvrdík_skončil_jako_viceprezident.txt,place,germany,False,False,False,False,False,True,True
Tvrdík_skončil_jako_viceprezident.txt,place,russia,False,False,False,False,False,True,True
Tvrdík_skončil_jako_viceprezident.txt,place,ukraine,False,False,False,False,False,True,True
Tvrdík_skončil_jako_viceprezident.txt,place,other,False,False,True,False,False,True,True
Tvrdík_skončil_jako_viceprezident.txt,place,unknown,False,False,False,False,False,True,True
